; Tables for Std model AutoHardSize capacity look-up rules
TABLE TrmlUnit
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd
;,,,,,(cfm),(cfm),( cfm)
,"BaseVAVBox CoilHtg-7","HotWater","BaseSys5 F1","Thermal Zone: F1 Retail N-NW",96843.800,96843.800,4.84035,-99996.000,-99996.000
,"BaseVAVBox CoilHtg-8","HotWater","BaseSys5 F1","Thermal Zone: F1 Retail NE",71432.800,71432.800,3.57028,-99996.000,-99996.000
,"BaseVAVBox CoilHtg-9","HotWater","BaseSys5 F1","Thermal Zone: F1 Retail SE",51904.300,51904.300,2.59423,-99996.000,-99996.000
,"BaseVAVBox CoilHtg-10","HotWater","BaseSys5 F1","Thermal Zone: F1 Retail SW",77052.900,77052.900,3.85118,-99996.000,-99996.000
,"DOAS1 CoilHtg","HeatPump","DOAS1","UNDEFINED",50746.500,48653.298,-99996.00000,-99996.000,-99996.000
,"DOAS1 SuppCoilHtg","Resistance","DOAS1","UNDEFINED",35261.568,35261.568,-99996.00000,-99996.000,-99996.000
ENDTABLE
TABLE Fan
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),
,"Fan 1","ConstantVolume","ZnSys F2-4 1-Bed Core N","Thermal Zone: F2-4 1-Bed Core N",365.627,-99996.000,0.500,"BrakeHorsePower",1.273,0.147,0.250,"InAirStream",0.855
,"Fan 2","ConstantVolume","ZnSys F2-4 1-Bed Core West","Thermal Zone: F2-4 1-Bed Core West",416.484,-99996.000,0.500,"BrakeHorsePower",1.273,0.167,0.250,"InAirStream",0.855
,"Fan 3","ConstantVolume","ZnSys F2-4 1-Bed Core East","Thermal Zone: F2-4 1-Bed Core East",427.585,-99996.000,0.500,"BrakeHorsePower",1.273,0.172,0.250,"InAirStream",0.855
,"Fan 4","ConstantVolume","ZnSys F2-4 1-Bed North","Thermal Zone: F2-4 1-Bed North",272.864,-99996.000,0.500,"BrakeHorsePower",1.273,0.110,0.125,"InAirStream",0.855
,"Fan 5","ConstantVolume","ZnSys F2-4 2-Bed Core NE-NW","Thermal Zone: F2-4 2-Bed Core NE-NW",363.885,-99996.000,0.500,"BrakeHorsePower",1.273,0.146,0.250,"InAirStream",0.855
,"Fan 6","ConstantVolume","ZnSys F2-4 2-Bed East","Thermal Zone: F2-4 2-Bed East",620.948,-99996.000,0.500,"BrakeHorsePower",1.273,0.249,0.250,"InAirStream",0.855
,"Fan 7","ConstantVolume","ZnSys F2-4 2-Bed West","Thermal Zone: F2-4 2-Bed West",634.532,-99996.000,0.500,"BrakeHorsePower",1.273,0.255,0.500,"InAirStream",0.855
,"Fan 8","ConstantVolume","ZnSys F2-4 3-Bed NE","Thermal Zone: F2-4 3-Bed NE",864.428,-99996.000,0.500,"BrakeHorsePower",1.273,0.347,0.500,"InAirStream",0.855
