,,,,,,,Occupancy,,,Ventilation,,Design Input (By Component),,,,,Minimum Req. (By Component),,,,Simulated,,Exhaust,,,ForBalance
Name,Story Name,Condg Type,Space Function,Thermal Zone,Floor Area,Multiplier,Design,Minimum,Number,Spec. Method,Control,Per Occupant,Per Area,Per Volume,Per Space,Calculated Flow,Per Occupant,Per Area,Per Volume,Calculated Flow,,,Calculated Flow,Lab Exh Type,Max Kitchen,Ventilation,Exhaust
,,,,,(ft2),,(ppl/1000ft2),(ppl/1000ft2),(people),,,(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm),(cfm/person),(cfm/ft2),(ACH),(cfm),(cfm/person),(cfm/ft2),(cfm),,(cfm),(cfm),(cfm)
"F2-4 3-Bed NE","Building Story Residential Floors 2-4","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F2-4 3-Bed NE",1410.0,3,2.8,2.8,4.0,"Sum","Fixed",7.5,0.03,0,0,72,7.5,0.03,0,72,0,0,72,"UNDEFINED",0,0,0
"F2-4 3-Bed NW","Building Story Residential Floors 2-4","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F2-4 3-Bed NW",1410.0,3,2.8,2.8,4.0,"Sum","Fixed",7.5,0.03,0,0,72,7.5,0.03,0,72,0,0,72,"UNDEFINED",0,0,0
"F2-4 Corridor","Building Story Residential Floors 2-4","DirectlyConditioned","Corridor Area","Thermal Zone: F2-4 Corridor",2145.0,3,10.0,10.0,10.7,"Maximum","Fixed",0,0.15,0,0,322,0,0.15,0,322,0,0.145924,0,"UNDEFINED",0,322,0
"F2-4 Elevator Core","Building Story Residential Floors 2-4","IndirectlyConditioned","Electrical, Mechanical, Telephone Rooms","Thermal Zone: F2-4 Corridor",25.0,3,3.0,3.0,0.0,"Maximum","Fixed",0,0,0,0,0,0,0,0,0,0,0.145924,0,"UNDEFINED",0,0,0
"F2-4 Elevator N","Building Story Residential Floors 2-4","IndirectlyConditioned","Electrical, Mechanical, Telephone Rooms","Thermal Zone: F2-4 Corridor",25.0,3,3.0,3.0,0.0,"Maximum","Fixed",0,0,0,0,0,0,0,0,0,0,0.145924,0,"UNDEFINED",0,0,0
"F2-4 Elevator S","Building Story Residential Floors 2-4","IndirectlyConditioned","Electrical, Mechanical, Telephone Rooms","Thermal Zone: F2-4 Corridor",25.0,3,3.0,3.0,0.0,"Maximum","Fixed",0,0,0,0,0,0,0,0,0,0,0.145924,0,"UNDEFINED",0,0,0
"F2-4 Laundry","Building Story Residential Floors 2-4","IndirectlyConditioned","Laundry Area","Thermal Zone: F2-4 Corridor",180.0,3,10.0,10.0,0.9,"Maximum","Fixed",0,0.15,0,0,27,0,0.15,0,27,0,0.145924,0,"UNDEFINED",0,27,0
"F2-4 Stair E","Building Story Residential Floors 2-4","DirectlyConditioned","Stairwell","Thermal Zone: F2-4 Corridor",180.0,3,10.0,10.0,0.9,"Maximum","Fixed",0,0.15,0,0,27,0,0.15,0,27,0,0.145924,0,"UNDEFINED",0,27,0
"F2-4 Stair W","Building Story Residential Floors 2-4","DirectlyConditioned","Stairwell","Thermal Zone: F2-4 Corridor",180.0,3,10.0,10.0,0.9,"Maximum","Fixed",0,0.15,0,0,27,0,0.15,0,27,0,0.145924,0,"UNDEFINED",0,27,0
"F2-4 Studio SE","Building Story Residential Floors 2-4","DirectlyConditioned","High-Rise Residential Living Spaces","Thermal Zone: F2-4 Studio SE",540.0,3,3.7,3.7,2.0,"Sum","Fixed",7.5,0.03,0,0,31,7.5,0.03,0,31,0,0,31,"UNDEFINED",0,0,0
