General Information
Project Address,City,ZipCode,ClimateZone,Compliance Software,Compliance Manager,RulesetFile Name,Compliance Type
" - specify - "," - specify - ",-99996,"ClimateZone9","CBECC-Com 2022.0.1 RV (1113)","BEMCmpMgr 2022.0.1 RV (6107)","CA 2022 Nonresidential, Vers. 1.0 Alpha (T24N_2022.bin)","NewComplete"

No. of Thermal Zones,No. of Thermal Zones (cond),No. of Air Systems,No. of Zonal Systems,No. of Terminal Units
Bldg. WWR,North WWR,East WWR,South WWR,West WWR
(frac.),(frac.),(frac.),(frac.),(frac.)
0.0000,0.0000,0.0000,0.0000,0.0000
Existing or Altered Window to Existing or Altered Wall Ratio
Bldg. WWR,North WWR,East WWR,South WWR,West WWR
(frac.),(frac.),(frac.),(frac.),(frac.)
0.0000,0.0000,0.0000,0.0000,0.0000


Skylight to Roof Ratio (SRR),Display Perimeter\SRR,West,Total
(frac.),(ft),(ft)
0.0000,0.00,0.00

New Skylight to New Roof Ratio (SRR)
(frac.)
0.0000
New Skylight to Existing or Altered Roof Ratio (SRR)
(frac.)
0.0000
Existing or Altered Skylight to Existing or Altered Roof Ratio (SRR)
(frac.)
0.0000



Exterior Roofs
,,,,,,,,,,,,Aged Thermal Emittance,,ThrmlAbs,,Aged Solar Reflectance,,SolAbs,
Name,Status,Name,Occupancy Classification,Conditioning Status,Assigned Occ Class (Ref),Area,Tilt,Slope Category,Cons Name,Construction Type,U-Factor,Roof,Cons,Roof,Cons,Roof,Cons,Roof,Cons
,,,,,,(ft2),(deg),,,,(Btu/h-?F-ft2),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),(frac.),
"Surface 1085","New","Parking Garage","Nonresidential","Unconditioned","NonResidential",5280.00,0,"Low","Concrete Podium Roof","WoodFramingAndOtherRoof",0.625,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 838","New","F5 1-Bed Core N","Residential","DirectlyConditioned","Residential",720.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 776","New","F5 1-Bed Core NE","Residential","DirectlyConditioned","Residential",720.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 842","New","F5 1-Bed Core NW","Residential","DirectlyConditioned","Residential",720.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 766","New","F5 1-Bed Core SE","Residential","DirectlyConditioned","Residential",720.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 804","New","F5 1-Bed Core SW","Residential","DirectlyConditioned","Residential",720.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 727","New","F5 1-Bed N","Residential","DirectlyConditioned","Residential",744.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 714","New","F5 1-Bed NE Core","Residential","DirectlyConditioned","Residential",744.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 811","New","F5 1-Bed NE Outer","Residential","DirectlyConditioned","Residential",744.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 917","New","F5 1-Bed NW Core","Residential","DirectlyConditioned","Residential",744.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 672","New","F5 1-Bed NW Outer","Residential","DirectlyConditioned","Residential",744.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 737","New","F5 2-Bed Core NE","Residential","DirectlyConditioned","Residential",1080.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 782","New","F5 2-Bed Core NW","Residential","DirectlyConditioned","Residential",1080.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 882","New","F5 2-Bed NE","Residential","DirectlyConditioned","Residential",1080.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 854","New","F5 2-Bed NW","Residential","DirectlyConditioned","Residential",1080.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 1027","New","F5 2-Bed SE","Residential","DirectlyConditioned","Residential",1080.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 724","New","F5 2-Bed SE Core","Residential","DirectlyConditioned","Residential",1080.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 827","New","F5 2-Bed SW","Residential","DirectlyConditioned","Residential",1080.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 823","New","F5 2-Bed SW Core","Residential","DirectlyConditioned","Residential",1080.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 814","New","F5 3-Bed NE","Residential","DirectlyConditioned","Residential",1410.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 788","New","F5 3-Bed NW","Residential","DirectlyConditioned","Residential",1410.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 696","New","F5 Corridor","Nonresidential","DirectlyConditioned","NonResidential",2145.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 754","New","F5 Elevator Core","Nonresidential","IndirectlyConditioned","NonResidential",25.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 744","New","F5 Elevator N","Nonresidential","IndirectlyConditioned","NonResidential",25.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 1007","New","F5 Elevator S","Nonresidential","IndirectlyConditioned","NonResidential",25.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 900","New","F5 Laundry","Nonresidential","IndirectlyConditioned","NonResidential",180.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 850","New","F5 Stair E","Nonresidential","DirectlyConditioned","NonResidential",180.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 765","New","F5 Stair W","Nonresidential","DirectlyConditioned","NonResidential",180.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 1016","New","F5 Studio SE","Residential","DirectlyConditioned","Residential",540.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92
"Surface 749","New","F5 Studio SW","Residential","DirectlyConditioned","Residential",540.00,0,"Low","WoodFramingAndOtherRoofU028","WoodFramingAndOtherRoof",0.033,0.75,0.75,0.85,0.85,0.08,0.08,0.92,0.92



Exterior Wall
,,Space
Name,Status,Name,Occupancy Classification,Conditioning Status,Building Type,Area,Azimuth,Cons Name,Construction Type,U Factor,Window Area
,,,,,,(ft2),(deg),,,(Btu/h-?F-ft2),(ft2)
"Surface 65","New","F1 Business Center","Nonresidential","DirectlyConditioned","NonResidential",150.00,270,"NonResConcreteExteriorWall","MassHeavyWall",0.070,15.00
"Surface 43","New","F1 Corridor","Nonresidential","DirectlyConditioned","NonResidential",600.00,180,"NonResConcreteExteriorWall","MassHeavyWall",0.070,60.00
"Surface 56","New","F1 Corridor","Nonresidential","DirectlyConditioned","NonResidential",70.00,0,"NonResConcreteExteriorWall","MassHeavyWall",0.070,7.00
"Surface 39-2","New","F1 Lounge","Nonresidential","DirectlyConditioned","NonResidential",150.00,270,"NonResConcreteExteriorWall","MassHeavyWall",0.070,15.00
"Surface 62-2","New","F1 Lounge","Nonresidential","DirectlyConditioned","NonResidential",170.00,90,"NonResConcreteExteriorWall","MassHeavyWall",0.070,17.00
"Surface 74","New","F1 Fitness Center","Nonresidential","DirectlyConditioned","NonResidential",300.00,90,"NonResConcreteExteriorWall","MassHeavyWall",0.070,30.00
"Surface 80","New","F1 Leasing Office","Nonresidential","DirectlyConditioned","NonResidential",230.00,270,"NonResConcreteExteriorWall","MassHeavyWall",0.070,23.00
"Surface 128","New","F1 Retail N Core","Nonresidential","DirectlyConditioned","NonResidential",290.00,0,"NonResConcreteExteriorWall","MassHeavyWall",0.070,29.00
"Surface 144","New","F1 Retail NE Core","Nonresidential","DirectlyConditioned","NonResidential",240.00,0,"NonResConcreteExteriorWall","MassHeavyWall",0.070,24.00
"Surface 137","New","F1 Retail NE Inner","Nonresidential","DirectlyConditioned","NonResidential",240.00,0,"NonResConcreteExteriorWall","MassHeavyWall",0.070,24.00
"Surface 150","New","F1 Retail NE Outer","Nonresidential","DirectlyConditioned","NonResidential",240.00,0,"NonResConcreteExteriorWall","MassHeavyWall",0.070,24.00
"Surface 151","New","F1 Retail NE Outer","Nonresidential","DirectlyConditioned","NonResidential",600.00,90,"NonResConcreteExteriorWall","MassHeavyWall",0.070,60.00
"Surface 119","New","F1 Retail NW Inner Core","Nonresidential","DirectlyConditioned","NonResidential",240.00,0,"NonResConcreteExteriorWall","MassHeavyWall",0.070,24.00
"Surface 105","New","F1 Retail NW Outer","Nonresidential","DirectlyConditioned","NonResidential",600.00,270,"NonResConcreteExteriorWall","MassHeavyWall",0.070,60.00
"Surface 106","New","F1 Retail NW Outer","Nonresidential","DirectlyConditioned","NonResidential",240.00,0,"NonResConcreteExteriorWall","MassHeavyWall",0.070,24.00
"Surface 111","New","F1 Retail NW Outer Core","Nonresidential","DirectlyConditioned","NonResidential",240.00,0,"NonResConcreteExteriorWall","MassHeavyWall",0.070,24.00
"Surface 10","New","F1 Retail SE Bottom","Nonresidential","DirectlyConditioned","NonResidential",600.00,180,"NonResConcreteExteriorWall","MassHeavyWall",0.070,60.00
"Surface 11","New","F1 Retail SE Bottom","Nonresidential","DirectlyConditioned","NonResidential",240.00,270,"NonResConcreteExteriorWall","MassHeavyWall",0.070,24.00
"Surface 9","New","F1 Retail SE Bottom","Nonresidential","DirectlyConditioned","NonResidential",240.00,90,"NonResConcreteExteriorWall","MassHeavyWall",0.070,24.00
"Surface 20","New","F1 Retail SE Top","Nonresidential","DirectlyConditioned","NonResidential",240.00,90,"NonResConcreteExteriorWall","MassHeavyWall",0.070,24.00
"Surface 22","New","F1 Retail SE Top","Nonresidential","DirectlyConditioned","NonResidential",240.00,270,"NonResConcreteExteriorWall","MassHeavyWall",0.070,24.00
"Surface 2","New","F1 Retail SW Bottom","Nonresidential","DirectlyConditioned","NonResidential",240.00,270,"NonResConcreteExteriorWall","MassHeavyWall",0.070,24.00
"Surface 4","New","F1 Retail SW Bottom","Nonresidential","DirectlyConditioned","NonResidential",240.00,90,"NonResConcreteExteriorWall","MassHeavyWall",0.070,24.00
"Surface 5","New","F1 Retail SW Bottom","Nonresidential","DirectlyConditioned","NonResidential",600.00,180,"NonResConcreteExteriorWall","MassHeavyWall",0.070,60.00
"Surface 15","New","F1 Retail SW Core","Nonresidential","DirectlyConditioned","NonResidential",240.00,270,"NonResConcreteExteriorWall","MassHeavyWall",0.070,24.00
"Surface 17","New","F1 Retail SW Core","Nonresidential","DirectlyConditioned","NonResidential",240.00,90,"NonResConcreteExteriorWall","MassHeavyWall",0.070,24.00
"Surface 30","New","F1 Retail SW Top","Nonresidential","DirectlyConditioned","NonResidential",300.00,90,"NonResConcreteExteriorWall","MassHeavyWall",0.070,30.00
"Surface 32","New","F1 Retail SW Top","Nonresidential","DirectlyConditioned","NonResidential",240.00,270,"NonResConcreteExteriorWall","MassHeavyWall",0.070,24.00
"Surface 99","New","F1 Stairs E","Nonresidential","DirectlyConditioned","NonResidential",100.00,270,"NonResConcreteExteriorWall","MassHeavyWall",0.070,10.00
"Surface 95","New","F1 Stairs W","Nonresidential","DirectlyConditioned","NonResidential",100.00,90,"NonResConcreteExteriorWall","MassHeavyWall",0.070,10.00
"Surface 1061","New","F2-4 1-Bed Core N","Residential","DirectlyConditioned","Residential",240.00,180,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,60.00
"Surface 869","New","F2-4 1-Bed Core NE","Residential","DirectlyConditioned","Residential",300.00,270,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,75.10
"Surface 891","New","F2-4 1-Bed Core NW","Residential","DirectlyConditioned","Residential",300.00,90,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,75.10
"Surface 875","New","F2-4 1-Bed Core SE","Residential","DirectlyConditioned","Residential",300.00,270,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,75.10
"Surface 970","New","F2-4 1-Bed Core SW","Residential","DirectlyConditioned","Residential",300.00,90,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,75.10
"Surface 207","New","F2-4 1-Bed N","Residential","DirectlyConditioned","Residential",240.00,0,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,60.00
"Surface 213","New","F2-4 1-Bed NE Core","Residential","DirectlyConditioned","Residential",240.00,0,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,60.00
"Surface 219","New","F2-4 1-Bed NE Outer","Residential","DirectlyConditioned","Residential",240.00,0,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,60.00
"Surface 201","New","F2-4 1-Bed NW Core","Residential","DirectlyConditioned","Residential",240.00,0,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,60.00
"Surface 195","New","F2-4 1-Bed NW Outer","Residential","DirectlyConditioned","Residential",240.00,0,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,60.00
"Surface 1006","New","F2-4 2-Bed Core NE","Residential","DirectlyConditioned","Residential",120.00,180,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,29.62
"Surface 994","New","F2-4 2-Bed Core NW","Residential","DirectlyConditioned","Residential",120.00,180,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,29.62
"Surface 981","New","F2-4 2-Bed NE","Residential","DirectlyConditioned","Residential",360.00,90,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,90.21
"Surface 922","New","F2-4 2-Bed NW","Residential","DirectlyConditioned","Residential",360.00,270,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,90.21
"Surface 1034","New","F2-4 2-Bed SE","Residential","DirectlyConditioned","Residential",300.00,180,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,75.10
"Surface 1036","New","F2-4 2-Bed SE","Residential","DirectlyConditioned","Residential",360.00,90,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,90.21
"Surface 861","New","F2-4 2-Bed SE Core","Residential","DirectlyConditioned","Residential",360.00,90,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,90.21
"Surface 1053","New","F2-4 2-Bed SW","Residential","DirectlyConditioned","Residential",300.00,180,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,75.10
"Surface 1059","New","F2-4 2-Bed SW","Residential","DirectlyConditioned","Residential",360.00,270,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,90.21
"Surface 796","New","F2-4 2-Bed SW Core","Residential","DirectlyConditioned","Residential",360.00,270,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,90.21
"Surface 184","New","F2-4 3-Bed NE","Residential","DirectlyConditioned","Residential",300.00,0,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,75.10
"Surface 185","New","F2-4 3-Bed NE","Residential","DirectlyConditioned","Residential",470.00,90,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,117.90
"Surface 901","New","F2-4 3-Bed NW","Residential","DirectlyConditioned","Residential",470.00,270,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,117.90
"Surface 902","New","F2-4 3-Bed NW","Residential","DirectlyConditioned","Residential",300.00,0,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,75.10
"Surface 984","New","F2-4 Laundry","Nonresidential","IndirectlyConditioned","NonResidential",120.00,180,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,29.62
"Surface 1021","New","F2-4 Stair E","Nonresidential","DirectlyConditioned","NonResidential",100.00,270,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,24.75
"Surface 1050","New","F2-4 Stair W","Nonresidential","DirectlyConditioned","NonResidential",100.00,90,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,24.75
"Surface 1043","New","F2-4 Studio SE","Residential","DirectlyConditioned","Residential",180.00,270,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,44.89
"Surface 1045","New","F2-4 Studio SE","Residential","DirectlyConditioned","Residential",300.00,180,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,75.10
"Surface 912","New","F2-4 Studio SW","Residential","DirectlyConditioned","Residential",180.00,90,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,44.89
"Surface 913","New","F2-4 Studio SW","Residential","DirectlyConditioned","Residential",300.00,180,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,75.10
"Surface 840","New","F5 1-Bed Core N","Residential","DirectlyConditioned","Residential",240.00,180,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,60.00
"Surface 773","New","F5 1-Bed Core NE","Residential","DirectlyConditioned","Residential",300.00,270,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,75.10
"Surface 845","New","F5 1-Bed Core NW","Residential","DirectlyConditioned","Residential",300.00,90,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,75.10
"Surface 768","New","F5 1-Bed Core SE","Residential","DirectlyConditioned","Residential",300.00,270,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,75.10
"Surface 805","New","F5 1-Bed Core SW","Residential","DirectlyConditioned","Residential",300.00,90,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,75.10
"Surface 730","New","F5 1-Bed N","Residential","DirectlyConditioned","Residential",240.00,0,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,60.00
"Surface 717","New","F5 1-Bed NE Core","Residential","DirectlyConditioned","Residential",240.00,0,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,60.00
"Surface 808","New","F5 1-Bed NE Outer","Residential","DirectlyConditioned","Residential",240.00,0,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,60.00
"Surface 916","New","F5 1-Bed NW Core","Residential","DirectlyConditioned","Residential",240.00,0,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,60.00
"Surface 670","New","F5 1-Bed NW Outer","Residential","DirectlyConditioned","Residential",240.00,0,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,60.00
"Surface 733","New","F5 2-Bed Core NE","Residential","DirectlyConditioned","Residential",120.00,180,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,29.62
"Surface 783","New","F5 2-Bed Core NW","Residential","DirectlyConditioned","Residential",120.00,180,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,29.62
"Surface 883","New","F5 2-Bed NE","Residential","DirectlyConditioned","Residential",360.00,90,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,90.21
"Surface 857","New","F5 2-Bed NW","Residential","DirectlyConditioned","Residential",360.00,270,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,90.21
"Surface 1026","New","F5 2-Bed SE","Residential","DirectlyConditioned","Residential",360.00,90,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,90.21
"Surface 1032","New","F5 2-Bed SE","Residential","DirectlyConditioned","Residential",300.00,180,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,75.10
"Surface 722","New","F5 2-Bed SE Core","Residential","DirectlyConditioned","Residential",360.00,90,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,90.21
"Surface 829","New","F5 2-Bed SW","Residential","DirectlyConditioned","Residential",360.00,270,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,90.21
"Surface 830","New","F5 2-Bed SW","Residential","DirectlyConditioned","Residential",300.00,180,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,75.10
"Surface 822","New","F5 2-Bed SW Core","Residential","DirectlyConditioned","Residential",360.00,270,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,90.21
"Surface 812","New","F5 3-Bed NE","Residential","DirectlyConditioned","Residential",470.00,90,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,117.90
"Surface 815","New","F5 3-Bed NE","Residential","DirectlyConditioned","Residential",300.00,0,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,75.10
"Surface 787","New","F5 3-Bed NW","Residential","DirectlyConditioned","Residential",300.00,0,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,75.10
"Surface 792","New","F5 3-Bed NW","Residential","DirectlyConditioned","Residential",470.00,270,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,117.90
"Surface 898","New","F5 Laundry","Nonresidential","IndirectlyConditioned","NonResidential",120.00,180,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,29.62
"Surface 851","New","F5 Stair E","Nonresidential","DirectlyConditioned","NonResidential",100.00,270,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,24.75
"Surface 760","New","F5 Stair W","Nonresidential","DirectlyConditioned","NonResidential",100.00,90,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,24.75
"Surface 1013","New","F5 Studio SE","Residential","DirectlyConditioned","Residential",300.00,180,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,75.10
"Surface 1014","New","F5 Studio SE","Residential","DirectlyConditioned","Residential",180.00,270,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,44.89
"Surface 747","New","F5 Studio SW","Residential","DirectlyConditioned","Residential",300.00,180,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,75.10
"Surface 750","New","F5 Studio SW","Residential","DirectlyConditioned","Residential",180.00,90,"ResWoodWallU059","WoodFramingAndOtherWall",0.111,44.89



Underground Floor
,,Space
Name,Status,Name,Occupancy Classification,Conditioning Status,Slab Type,Area,Exposed Perimeter,Cons Name,Slab Insulation Orientation,Overall 'F' Factor
,,,,,(Heated/Unheated),(ft2),(ft),,,(Btu/h-?F-ft2)
"Surface 171","New","Parking Garage","Nonresidential","Unconditioned","UnheatedSlab",27900.00,0.00,"SlabOnOrBelowGradeF073","None",0.730



Window
,,,,Exterior Wall,Window
Name,Status,Occupancy Classification,Conditioning Status,Name,Area,Azimuth,Product Type,Cert Method,Cons Name,Frame Type,Glazing Type,U Factor,SHGC,Visual Transmittance, U Factor Simulated,Inside Convection Coefficient
,,,,,(ft2),(Deg),,,,,,(Btu/h-?F-ft2),,,(Btu/h-?F-ft2),(Btu/h-?F-ft2)
"Sub Surface 28","New","Nonresidential","DirectlyConditioned","Surface 65",15.00,270,"FixedWindow","NFRCRated","Nonres Fixed Window","- specify -","- specify -",0.360,0.250,0.420,0.36000,-99996.00000
"Sub Surface 4","New","Nonresidential","DirectlyConditioned","Surface 43",60.00,180,"FixedWindow","NFRCRated","Nonres Fixed Window","- specify -","- specify -",0.360,0.250,0.420,0.36000,-99996.00000
"Sub Surface 23","New","Nonresidential","DirectlyConditioned","Surface 56",7.00,0,"FixedWindow","NFRCRated","Nonres Fixed Window","- specify -","- specify -",0.360,0.250,0.420,0.36000,-99996.00000
"Sub Surface 16-2","New","Nonresidential","DirectlyConditioned","Surface 39-2",15.00,270,"FixedWindow","NFRCRated","Nonres Fixed Window","- specify -","- specify -",0.360,0.250,0.420,0.36000,-99996.00000
